nm_municipio,votos_deputado,valor_emenda,market_share,idh,populacao,votos_per_capita,emenda_per_capita,categoria_idh
TACIBA,5,0.0,0.00011087949616356944,0.723,5752.0,0.0008692628650904034,0.0,Alto
TAGUAI,1,199869.0,2.2175899232713886e-05,0.709,11086.0,9.020386072523904e-05,18.0289554392928,Alto
TAIACU,1,0.0,2.2175899232713886e-05,0.71,5916.0,0.00016903313049357674,0.0,Alto
TAIUVA,2,0.0,4.435179846542777e-05,0.76,5443.0,0.00036744442403086535,0.0,Alto
TAMBAU,12,0.0,0.00026611079079256664,0.731,22418.0,0.0005352841466678562,0.0,Alto
TANABI,10,0.0,0.00022175899232713888,0.748,24168.0,0.00041377027474346245,0.0,Alto
TAPIRAI,2,0.0,4.435179846542777e-05,0.681,7970.0,0.0002509410288582183,0.0,Médio
TAPIRATIBA,13,0.0,0.0002882866900252805,0.751,12722.0,0.001021851910077032,0.0,Alto
TAQUARITINGA,36,0.0,0.0007983323723776999,0.748,54136.0,0.0006649918723215606,0.0,Alto
TAQUARITUBA,5,0.0,0.00011087949616356944,0.701,22315.0,0.00022406453058480843,0.0,Alto
TARABAI,5,0.0,0.00011087949616356944,0.726,6671.0,0.000749512816669165,0.0,Alto
TATUI,40,0.0,0.0008870359693085555,0.752,108393.0,0.00036902752022732093,0.0,Alto
TAUBATE,111,0.0,0.002461524814831241,0.8,281336.0,0.000394546023260443,0.0,Alto
TEJUPA,1,0.0,2.2175899232713886e-05,0.668,4769.0,0.00020968756552736424,0.0,Médio
TEODORO SAMPAIO,11,0.0,0.00024393489155985276,0.741,21493.0,0.0005117945377564789,0.0,Alto
TERRA ROXA,6,0.0,0.00013305539539628332,0.749,8563.0,0.0007006890108606797,0.0,Alto
TIETE,17,0.0,0.00037699028695613605,0.778,37229.0,0.0004566332697628193,0.0,Alto
TIMBURI,0,0.0,0.0,0.71,2640.0,0.0,0.0,Alto
TORRINHA,4,0.0,8.870359693085554e-05,0.744,9368.0,0.0004269854824935952,0.0,Alto
TREMEMBE,8,0.0,0.00017740719386171109,0.785,41457.0,0.00019297103022408762,0.0,Alto
TRES FRONTEIRAS,1,0.0,2.2175899232713886e-05,0.753,5448.0,0.00018355359765051394,0.0,Alto
TUPA,45,0.0,0.0009979154654721249,0.771,63487.0,0.0007088065273205538,0.0,Alto
TUPI PAULISTA,10,0.0,0.00022175899232713888,0.769,14345.0,0.0006971070059254096,0.0,Alto
TURIUBA,1,0.0,2.2175899232713886e-05,0.751,1933.0,0.0005173305742369374,0.0,Alto
TURMALINA,1,0.0,2.2175899232713886e-05,0.736,1949.0,0.000513083632632119,0.0,Alto
UBATUBA,28,0.0,0.0006209251785159888,0.751,79718.0,0.0003512381143530947,0.0,Alto
UBIRAJARA,0,0.0,0.0,0.727,4448.0,0.0,0.0,Alto
UCHOA,4,0.0,8.870359693085554e-05,0.721,9505.0,0.0004208311415044713,0.0,Alto
UNIAO PAULISTA,1,0.0,2.2175899232713886e-05,0.749,1618.0,0.0006180469715698393,0.0,Alto
URANIA,3,0.0,6.652769769814166e-05,0.746,8837.0,0.0003394817245671608,0.0,Alto
URU,2,0.0,4.435179846542777e-05,0.712,1240.0,0.0016129032258064516,0.0,Alto
URUPES,10,0.0,0.00022175899232713888,0.745,12782.0,0.0007823501799405414,0.0,Alto
VALENTIM GENTIL,3,0.0,6.652769769814166e-05,0.735,11223.0,0.0002673082063619353,0.0,Alto
VALINHOS,85,0.0,0.0018849514347806804,0.819,108622.0,0.0007825302424923128,0.0,Muito Alto
VALPARAISO,6,0.0,0.00013305539539628332,0.725,22884.0,0.00026219192448872575,0.0,Alto
VARGEM GRANDE DO SUL,17,0.0,0.00037699028695613605,0.737,39494.0,0.0004304451309059604,0.0,Alto
VARZEA PAULISTA,48,0.0,0.0010644431631702666,0.759,108186.0,0.000443680328323443,0.0,Alto
VERA CRUZ,4,0.0,8.870359693085554e-05,0.754,10745.0,0.00037226617031177293,0.0,Alto
VINHEDO,41,0.0,0.0009092118685412693,0.817,64870.0,0.0006320332973639587,0.0,Muito Alto
VIRADOURO,7,0.0,0.0001552312946289972,0.739,17400.0,0.00040229885057471265,0.0,Alto
VISTA ALEGRE DO ALTO,3,0.0,6.652769769814166e-05,0.744,7050.0,0.000425531914893617,0.0,Alto
VOTORANTIM,41,0.0,0.0009092118685412693,0.767,109798.0,0.0003734129947722181,0.0,Alto
VOTUPORANGA,40,0.0,0.0008870359693085555,0.79,85387.0,0.0004684553854802253,0.0,Alto
VARGEM GRANDE PAULISTA,27,0.0,0.000598749279283275,0.77,43789.0,0.000616593208339994,0.0,Alto
